Component_Type,Component_Name,File_Path,Dependencies,Data_Flow,Database_Tables,RLS_Policies,Role_Requirements,Description
Application,App,src/App.tsx,"QueryClient,ThemeProvider,AuthProvider,TooltipProvider,Toaster,Sonner,AppRouter",Global State Management,N/A,N/A,N/A,Main application entry point with providers
Router,AppRouter,src/app/router.tsx,"React Router,ProtectedRoute,RoleGate,AppShell",Route Management,N/A,N/A,N/A,Main routing configuration with lazy loading
Auth,AuthProvider,src/components/auth/AuthProvider.tsx,"useSupabaseAuth,useProfile",Authentication State,profiles,memberships,profile_org_isolation,All authenticated users,Authentication context provider
Auth,ProtectedRoute,src/app/guards/ProtectedRoute.tsx,"useAuth,Navigate",Route Protection,N/A,N/A,N/A,Protects routes requiring authentication
Auth,RoleGate,src/app/guards/RoleGate.tsx,"useAuth,canView",Role-based Access Control,N/A,N/A,Role-based,Enforces role-based access to routes
Database,Database Schema,src/integrations/supabase/types.ts,N/A,Type Definitions,All Tables,All Policies,N/A,Generated TypeScript types from Supabase schema
Database,Supabase Client,src/integrations/supabase/client.ts,"@supabase/supabase-js",Database Connection,N/A,N/A,N/A,Supabase client configuration
Service,CustomerService,src/services/customerService.ts,"supabase,Database types",Customer CRUD Operations,customers,customers_org_isolation,operational,CRUD operations for customer management
Service,ProjectService,src/services/projectService.ts,"supabase,Database types",Project CRUD Operations,projects,customers,projects_org_access,operational,CRUD operations for project management
Service,ChatService,src/services/chatService.ts,"supabase",Real-time Chat,chat_threads,chat_participants,chat_messages,chat_threads_select,operational,Real-time chat functionality with file attachments
Service,DashboardService,src/services/dashboardService.ts,"supabase",Dashboard Analytics,All Tables,All Policies,operational,Dashboard metrics and analytics
Service,DocumentService,src/services/documentService.ts,"supabase",Document Management,documents,documents_org_access,operational,Document upload and management
Service,LabelService,src/services/labelService.ts,"supabase",Label Management,labels,labels_org_access,management,Label creation and assignment
Service,MessageService,src/services/messageService.ts,"supabase",Message Management,messages,messages_org_access,operational,Email and message management
Service,NotificationService,src/services/notificationService.ts,"supabase",Notification System,notifications,notifications_user_access,external,User notification management
Service,QuoteService,src/services/quoteService.ts,"supabase",Quote Management,quotes,quotes_org_access,operational,Quote creation and management
Service,ShipmentService,src/services/shipmentService.ts,"supabase",Shipment Management,shipments,shipments_org_access,operational,Shipment tracking and management
Service,TeamMemberService,src/services/teamMemberService.ts,"supabase",Team Management,profiles,memberships,profile_org_isolation,management,Team member management
Hook,useCustomers,src/hooks/useCustomers.ts,"useAuth,supabase,toast",Customer State Management,customers,customers_org_isolation,operational,React hook for customer operations
Hook,useProjects,src/hooks/useProjects.ts,"useAuth,supabase,toast",Project State Management,projects,customers,projects_org_access,operational,React hook for project operations
Hook,useChat,src/hooks/useChat.ts,"chatService,supabase",Chat State Management,chat_threads,chat_participants,chat_messages,chat_threads_select,operational,React hook for chat functionality
